optionId	menuId	type	name	url	position	section	perm	groupname
1	42	o	Home	tiki-index.php	10			
2	42	o	Chat	tiki-chat.php	15	feature_chat	tiki_p_chat	
3	42	o	Contact us	tiki-contact.php	20	feature_contact		
4	42	o	Stats	tiki-stats.php	23	feature_stats	tiki_p_view_stats	
5	42	o	Categories	tiki-browse_categories.php	25	feature_categories	tiki_p_view_categories	
6	42	o	Games	tiki-list_games.php	30	feature_games	tiki_p_play_games	
7	42	o	Calendar	tiki-calendar.php	35	feature_calendar	tiki_p_view_calendar	
8	42	o	Mobile	tiki-mobile.php	37	feature_mobile		
9	42	o	(debug)	javascript:toggle("debugconsole")	40	feature_debug_console	tiki_p_admin	
10	42	s	MyTiki	tiki-my_tiki.php	50			Registered
11	42	o	MyTiki home	tiki-my_tiki.php	51			Registered
12	42	o	Preferences	tiki-user_preferences.php	55	feature_userPreferences		Registered
13	42	o	Messages	messu-mailbox.php	60	feature_messages	tiki_p_messages	Registered
14	42	o	Tasks	tiki-user_tasks.php	65	feature_tasks	tiki_p_tasks	Registered
15	42	o	Bookmarks	tiki-user_bookmarks.php	70	feature_user_bookmarks	tiki_p_create_bookmarks	Registered
16	42	o	Modules	tiki-user_assigned_modules.php	75	user_assigned_modules	tiki_p_configure_modules	Registered
17	42	o	Newsreader	tiki-newsreader_servers.php	80	feature_newsreader	tiki_p_newsreader	Registered
18	42	o	Webmail	tiki-webmail.php	85	feature_webmail	tiki_p_use_webmail	Registered
19	42	o	Notepad	tiki-notepad_list.php	90	feature_notepad	tiki_p_notepad	Registered
20	42	o	My files	tiki-userfiles.php	95	feature_userfiles	tiki_p_userfiles	Registered
21	42	o	User menu	tiki-usermenu.php	100	feature_usermenu		Registered
22	42	o	Mini calendar	tiki-minical.php	105	feature_minical		Registered
23	42	o	My watches	tiki-user_watches.php	110	feature_user_watches		Registered
24	42	s	Workflow	tiki-g-user_processes.php	150	feature_workflow	tiki_p_use_workflow	
25	42	o	Admin processes	tiki-g-admin_processes.php	155	feature_workflow	tiki_p_admin_workflow	
26	42	o	Monitor processes	tiki-g-monitor_processes.php	160	feature_workflow	tiki_p_admin_workflow	
27	42	o	Monitor activities	tiki-g-monitor_activities.php	165	feature_workflow	tiki_p_admin_workflow	
28	42	o	Monitor instances	tiki-g-monitor_instances.php	170	feature_workflow	tiki_p_admin_workflow	
29	42	o	User processes	tiki-g-user_processes.php	175	feature_workflow	tiki_p_use_workflow	
30	42	o	User activities	tiki-g-user_activities.php	180	feature_workflow	tiki_p_use_workflow	
31	42	o	User instances	tiki-g-user_instances.php	185	feature_workflow	tiki_p_use_workflow	
32	42	s	Community	tiki-list_users.php	187	feature_friends	tiki_p_list_users	
33	42	o	User list	tiki-list_users.php	188	feature_friends	tiki_p_list_users	
34	42	o	Friendship Network	tiki-friends.php	189	feature_friends		
35	42	s	Wiki	tiki-index.php	200	feature_wiki	tiki_p_view	
36	42	o	Wiki Home	tiki-index.php	202	feature_wiki	tiki_p_view	
37	42	o	Last Changes	tiki-lastchanges.php	205	feature_wiki,feature_lastChanges	tiki_p_view	
38	42	o	Dump	dump/new.tar	210	feature_wiki,feature_dump	tiki_p_view	
39	42	o	Rankings	tiki-wiki_rankings.php	215	feature_wiki,feature_wiki_rankings	tiki_p_view	
40	42	o	List pages	tiki-listpages.php	220	feature_wiki,feature_listPages	tiki_p_view	
41	42	o	Orphan pages	tiki-orphan_pages.php	225	feature_wiki,feature_listPages	tiki_p_view	
42	42	o	Sandbox	tiki-editpage.php?page=sandbox	230	feature_wiki,feature_sandbox	tiki_p_view	
