event	score	expiration
login	1	0
login_remain	2	60
profile_fill	10	0
profile_see	2	0
profile_is_seen	1	0
friend_new	10	0
message_receive	1	0
message_send	2	0
article_read	2	0
article_comment	5	0
article_new	20	0
article_is_read	1	0
article_is_commented	2	0
fgallery_new	10	0
fgallery_new_file	10	0
fgallery_download	5	0
fgallery_is_downloaded	5	0
igallery_new	10	0
igallery_new_img	6	0
igallery_see_img	3	0
igallery_img_seen	1	0
blog_new	20	0
blog_post	5	0
blog_read	2	0
blog_comment	2	0
blog_is_read	3	0
blog_is_commented	3	0
wiki_new	10	0
wiki_edit	5	0
wiki_attach_file	3	0
