permName	permDesc	level	type
tiki_p_abort_instance	Can abort a process instance	editors	workflow
tiki_p_access_closed_site	Can access site when closed	admin	tiki
tiki_p_add_events	Can add events in the calendar	registered	calendar
tiki_p_admin	Administrator, can manage users groups and permissions, Hotwords and all the weblog features	admin	tiki
tiki_p_admin_banners	Administrator, can admin banners	admin	tiki
tiki_p_admin_banning	Can ban users or ips	admin	tiki
tiki_p_admin_calendar	Can create/admin calendars	admin	calendar
tiki_p_admin_categories	Can admin categories	editors	tiki
tiki_p_admin_charts	Can admin charts	admin	charts
tiki_p_admin_chat	Administrator, can create channels remove channels etc	editors	chat
tiki_p_admin_cms	Can admin the cms	editors	cms
tiki_p_admin_directory	Can admin the directory	editors	directory
tiki_p_admin_directory_cats	Can admin directory categories	editors	directory
tiki_p_admin_directory_sites	Can admin directory sites	editors	directory
tiki_p_admin_drawings	Can admin drawings	editors	drawings
tiki_p_admin_dynamic	Can admin the dynamic content system	editors	tiki
tiki_p_admin_faqs	Can admin faqs	editors	faqs
tiki_p_admin_file_galleries	Can admin file galleries	editors	file galleries
tiki_p_admin_forum	Can admin forums	editors	forums
tiki_p_admin_galleries	Can admin Image Galleries	editors	image galleries
tiki_p_admin_games	Can admin games	editors	games
tiki_p_admin_mailin	Can admin mail-in accounts	admin	tiki
tiki_p_admin_newsletters	Can admin newsletters	admin	newsletters
tiki_p_admin_quizzes	Can admin quizzes	editors	quizzes
tiki_p_admin_received_articles	Can admin received articles	editors	comm
tiki_p_admin_received_pages	Can admin received pages	editors	comm
tiki_p_admin_sheet	Can admin sheet	admin	sheet
tiki_p_admin_shoutbox	Can admin shoutbox (Edit/remove msgs)	editors	shoutbox
tiki_p_admin_surveys	Can admin surveys	editors	surveys
tiki_p_admin_trackers	Can admin trackers	editors	trackers
tiki_p_admin_wiki	Can admin the wiki	editors	wiki
tiki_p_admin_workflow	Can admin workflow processes	admin	workflow
tiki_p_approve_submission	Can approve submissions	editors	cms
tiki_p_attach_trackers	Can attach files to tracker items	registered	trackers
tiki_p_autoapprove_submission	Submited articles automatically approved	editors	cms
tiki_p_autosubmit_link	Submited links are valid	editors	directory
tiki_p_autoval_chart_suggestio	Autovalidate suggestions	editors	charts
tiki_p_batch_upload_files	Can upload zip files with files	editors	file galleries
tiki_p_batch_upload_images	Can upload zip files with images	editors	image galleries
tiki_p_batch_upload_image_dir	Can use Directory Batch Load	editors	image galleries
tiki_p_blog_admin	Can admin blogs	editors	blogs
tiki_p_blog_post	Can post to a blog	registered	blogs
tiki_p_broadcast	Can broadcast messages to groups	admin	messu
tiki_p_broadcast_all	Can broadcast messages to all user	admin	messu
tiki_p_cache_bookmarks	Can cache user bookmarks	admin	user
tiki_p_change_events	Can change events in the calendar	registered	calendar
tiki_p_chat	Can use the chat system	registered	chat
tiki_p_comment_tracker_items	Can insert comments for tracker items	basic	trackers
tiki_p_configure_modules	Can configure modules	registered	user
tiki_p_create_blogs	Can create a blog	editors	blogs
tiki_p_create_bookmarks	Can create user bookmarks	registered	user
tiki_p_create_css	Can create new css suffixed with -user	registered	tiki
tiki_p_create_file_galleries	Can create file galleries	editors	file galleries
tiki_p_create_galleries	Can create image galleries	editors	image galleries
tiki_p_create_tracker_items	Can create new items for trackers	registered	trackers
tiki_p_download_files	Can download files	basic	file galleries
tiki_p_edit	Can edit pages	registered	wiki
tiki_p_edit_article	Can edit articles	editors	cms
tiki_p_edit_comments	Can edit all comments	editors	comments
tiki_p_edit_content_templates	Can edit content templates	editors	content templates
tiki_p_edit_cookies	Can admin cookies	editors	tiki
tiki_p_edit_copyrights	Can edit copyright notices	editors	wiki
tiki_p_edit_drawings	Can edit drawings	basic	drawings
tiki_p_edit_html_pages	Can edit HTML pages	editors	html pages
tiki_p_edit_languages	Can edit translations and create new languages	editors	tiki
tiki_p_edit_sheet	Can create and edit sheets	editors	sheet
tiki_p_edit_structures	Can create and edit structures	editors	wiki
tiki_p_edit_submission	Can edit submissions	editors	cms
tiki_p_edit_templates	Can edit site templates	admin	tiki
tiki_p_view_templates	Can view site templates	admin	tiki
tiki_p_eph_admin	Can admin ephemerides	editors	tiki
tiki_p_exception_instance	Can declare an instance as exception	registered	workflow
tiki_p_forum_attach	Can attach to forum posts	registered	forums
tiki_p_forum_autoapp	Auto approve forum posts	editors	forums
tiki_p_forum_post	Can post in forums	registered	forums
tiki_p_forum_post_topic	Can start threads in forums	registered	forums
tiki_p_forum_read	Can read forums	basic	forums
tiki_p_forum_vote	Can vote comments in forums	registered	forums
tiki_p_forums_report	Can report msgs to moderator	registered	forums
tiki_p_list_users	Can list registered users	registered	community
tiki_p_live_support	Can use live support system	basic	support
tiki_p_live_support_admin	Admin live support system	admin	support
tiki_p_lock	Can lock pages	editors	wiki
tiki_p_map_create	Can create new mapfile	admin	maps
tiki_p_map_delete	Can delete mapfiles	admin	maps
tiki_p_map_edit	Can edit mapfiles	editors	maps
tiki_p_map_view	Can view mapfiles	basic	maps
tiki_p_map_view_mapfiles	Can view contents of mapfiles	registered	maps
tiki_p_messages	Can use the messaging system	registered	messu
tiki_p_minical	Can use the mini event calendar	registered	user
tiki_p_minor	Can save as minor edit	registered	wiki
tiki_p_modify_tracker_items	Can change tracker items	registered	trackers
tiki_p_newsreader	Can use the newsreader	registered	user
tiki_p_notepad	Can use the notepad	registered	user
tiki_p_play_games	Can play games	basic	games
tiki_p_post_comments	Can post new comments	registered	comments
tiki_p_post_shoutbox	Can post messages in shoutbox	basic	shoutbox
tiki_p_read_article	Can read articles	basic	cms
tiki_p_read_blog	Can read blogs	basic	blogs
tiki_p_read_comments	Can read comments	basic	comments
tiki_p_remove	Can remove	editors	wiki
tiki_p_remove_article	Can remove articles	editors	cms
tiki_p_remove_comments	Can delete comments	editors	comments
tiki_p_remove_submission	Can remove submissions	editors	cms
tiki_p_rename	Can rename pages	editors	wiki
tiki_p_rollback	Can rollback pages	editors	wiki
tiki_p_send_articles	Can send articles to other sites	editors	comm
tiki_p_send_instance	Can send instances after completion	registered	workflow
tiki_p_send_newsletters	Can send newsletters	editors	newsletters
tiki_p_send_pages	Can send pages to other sites	registered	comm
tiki_p_sendme_articles	Can send articles to this site	registered	comm
tiki_p_sendme_pages	Can send pages to this site	registered	comm
tiki_p_submit_article	Can submit articles	basic	cms
tiki_p_submit_link	Can submit sites to the directory	basic	directory
tiki_p_subscribe_email	Can subscribe any email to newsletters	editors	newsletters
tiki_p_subscribe_newsletters	Can subscribe to newsletters	basic	newsletters
tiki_p_suggest_chart_item	Can suggest items	basic	charts
tiki_p_suggest_faq	Can suggest faq questions	basic	faqs
tiki_p_take_quiz	Can take quizzes	basic	quizzes
tiki_p_take_survey	Can take surveys	basic	surveys
tiki_p_tasks	Can use tasks	registered	user
tiki_p_topic_read	Can read a topic (Applies only to individual topic perms)	basic	topics
tiki_p_tracker_view_ratings	Can view rating result for tracker items	basic	trackers
tiki_p_tracker_vote_ratings	Can vote a rating for tracker items	registered	trackers
tiki_p_upload_files	Can upload files	registered	file galleries
tiki_p_upload_images	Can upload images	registered	image galleries
tiki_p_upload_picture	Can upload pictures to wiki pages	registered	wiki
tiki_p_use_HTML	Can use HTML in pages	editors	tiki
tiki_p_use_content_templates	Can use content templates	registered	content templates
tiki_p_use_webmail	Can use webmail	registered	webmail
tiki_p_use_workflow	Can execute workflow activities	registered	workflow
tiki_p_userfiles	Can upload personal files	registered	user
tiki_p_usermenu	Can create items in personal menu	registered	user
tiki_p_validate_links	Can validate submited links	editors	directory
tiki_p_view	Can view page/pages	basic	wiki
tiki_p_view_calendar	Can browse the calendar	basic	calendar
tiki_p_view_categories	Can browse categories	basic	tiki
tiki_p_view_chart	Can view charts	basic	charts
tiki_p_view_directory	Can use the directory	basic	directory
tiki_p_view_eph	Can view ephemerides	registered	tiki
tiki_p_view_faqs	Can view faqs	basic	faqs
tiki_p_view_file_gallery	Can view file galleries	basic	file galleries
tiki_p_view_html_pages	Can view HTML pages	basic	html pages
tiki_p_view_image_gallery	Can view image galleries	basic	image galleries
tiki_p_view_quiz_stats	Can view quiz stats	basic	quizzes
tiki_p_view_referer_stats	Can view referer stats	editors	tiki
tiki_p_view_sheet	Can view sheet	basic	sheet
tiki_p_view_sheet_history	Can view sheet history	admin	sheet
tiki_p_view_shoutbox	Can view shoutbox	basic	shoutbox
tiki_p_view_stats	Can view site stats	basic	tiki
tiki_p_view_survey_stats	Can view survey stats	basic	surveys
tiki_p_view_trackers	Can view trackers	basic	trackers
tiki_p_view_trackers_closed	Can view trackers closed items	registered	trackers
tiki_p_view_trackers_pending	Can view trackers pending items	editors	trackers
tiki_p_view_tiki_calendar	Can view TikiWiki tools calendar	basic	calendar
tiki_p_view_user_results	Can view user quiz results	editors	quizzes
tiki_p_vote_chart	Can vote	basic	charts
tiki_p_vote_comments	Can vote comments	registered	comments
tiki_p_vote_poll	Can vote polls	basic	tiki
tiki_p_wiki_admin_attachments	Can admin attachments to wiki pages	editors	wiki
tiki_p_wiki_attach_files	Can attach files to wiki pages	registered	wiki
tiki_p_wiki_view_attachments	Can view wiki attachments and download	registered	wiki
tiki_p_wiki_view_comments	Can view wiki comments	basic	wiki
tiki_p_wiki_view_history	Can view wiki history	basic	wiki
tiki_p_wiki_view_ratings	Can view rating of wiki pages	basic	wiki
tiki_p_wiki_vote_ratings	Can participate to rating of wiki pages	registered	wiki
tiki_p_wiki_admin_ratings	Can add and change ratings on wiki pages	admin	wiki
tiki_p_admin_users	Can admin users	admin	user
tiki_p_tasks_send	Can send tasks to other users	registered	user
tiki_p_tasks_receive	Can  receive tasks from other users	registered	user
tiki_p_tasks_admin	Can admin public tasks	admin	user
tiki_p_admin_rssmodules	Can admin rss modules	admin	tiki
tiki_p_admin_polls	Can admin polls	admin	tiki
tiki_p_admin_objects	Can edit object permissions	admin	tiki
tiki_p_edit_dynvar	Can edit dynamic variables	editors	wiki
tiki_p_admin_integrator	Can admin integrator repositories and rules	admin	tiki
tiki_p_view_integrator	Can view integrated repositories	basic	tiki
